STATNAME,Total Literacy Rate,High or Low,Primary Schools,Upper Primary with secondary,Primary School(Government),Upper Primary with Secondary(government),Primary School(private),Upper primary with secondary(private),Primary School(Schools approachabe by all weather road),Upper primary with secondary(Schools approachabe by all weather road),Primary Schools(with electricity),Upper primary with secondary(with electricity),Primary schools(need minor repairs),Upper primary with secondary(need minor repair),Primary schools(need major repair),Upper primary with secondary(need major repair)
MADHYA PRADESH,64.9,Low,2097,3,2031,0,53,3,1900,3,137,2,1031,0,519,0
MADHYA PRADESH,66.08,Low,1688,0,1627,0,57,0,1262,0,135,0,1196,0,709,0
MADHYA PRADESH,77.52,High,2341,5,2207,0,117,5,2090,5,172,4,1237,0,973,0
MADHYA PRADESH,70.92,Low,1574,1,1472,0,93,1,1271,1,100,1,1165,0,668,0
MADHYA PRADESH,73.79,High,2841,0,2687,0,135,0,2482,0,211,0,1686,0,1003,0
MADHYA PRADESH,73.42,High,3793,0,3666,0,103,0,3196,0,658,0,1197,0,572,0
MADHYA PRADESH,67.34,Low,818,0,801,0,17,0,728,0,108,0,346,0,284,0
MADHYA PRADESH,68.36,Low,1689,0,1630,0,58,0,1614,0,229,0,965,0,546,0
MADHYA PRADESH,66.09,Low,1753,0,1707,0,41,0,1661,0,98,0,359,0,778,0
MADHYA PRADESH,71.81,Low,977,1,881,0,83,1,899,1,156,1,511,0,276,0
MADHYA PRADESH,72.75,Low,1393,0,1308,0,85,0,1108,0,202,0,725,0,361,0
MADHYA PRADESH,68.03,Low,1752,0,1623,0,120,0,1555,0,162,0,499,0,360,0
MADHYA PRADESH,73.55,High,1626,3,1482,1,133,2,1402,3,193,3,1183,1,671,0
MADHYA PRADESH,70.17,Low,1011,0,892,0,110,0,880,0,129,0,644,0,403,0
MADHYA PRADESH,70.53,Low,1644,0,1574,0,60,0,1459,0,157,0,836,0,535,0
MADHYA PRADESH,44.45,Low,2030,1,1989,1,41,0,1782,1,97,1,1052,3,565,0
MADHYA PRADESH,60.57,Low,3391,1,3319,0,71,1,2984,1,311,1,1525,0,764,0
MADHYA PRADESH,82.32,High,1290,0,1115,0,155,0,1189,0,282,0,593,0,208,0
MADHYA PRADESH,63.98,Low,2837,0,2721,0,100,0,2463,0,322,0,1666,0,793,0
MADHYA PRADESH,50.23,Low,2493,1,2365,0,106,1,2161,1,205,1,898,0,553,0
MADHYA PRADESH,67.53,Low,1284,2,1155,0,108,2,1093,1,142,2,718,0,511,0
MADHYA PRADESH,62.68,Low,2065,0,1923,0,103,0,1837,0,223,0,1153,0,737,0
MADHYA PRADESH,72.08,Low,1977,0,1914,0,42,0,1649,0,106,0,1319,0,668,0
MADHYA PRADESH,82.26,High,1107,1,824,0,112,1,1029,1,389,1,802,0,402,0
MADHYA PRADESH,71.11,Low,1470,1,1401,0,37,1,1011,1,188,1,460,0,167,0
MADHYA PRADESH,74.26,High,1887,1,1862,0,16,1,1786,1,202,1,930,0,608,0
MADHYA PRADESH,70.14,Low,2125,3,2034,0,90,3,1944,3,114,3,1028,0,808,0
MADHYA PRADESH,74.04,High,606,0,545,0,55,0,564,0,80,0,288,0,141,0
MADHYA PRADESH,76.52,High,1243,1,1204,0,39,1,915,1,87,1,625,0,352,0
MADHYA PRADESH,73.62,High,1428,1,1326,0,96,1,1318,1,128,1,831,0,484,0
MADHYA PRADESH,82.47,High,1815,3,1611,0,120,3,1626,2,301,3,1118,0,738,0
MADHYA PRADESH,76.79,High,1287,1,1232,0,51,1,958,1,126,1,679,0,553,0
MADHYA PRADESH,65.47,Low,1487,1,1424,0,63,1,1239,1,104,1,957,0,508,0
MADHYA PRADESH,68.28,Low,2148,0,2093,0,55,0,1900,0,90,0,1801,0,988,0
MADHYA PRADESH,72.21,Low,2800,1,2689,0,102,1,2675,1,222,1,1050,0,927,0
MADHYA PRADESH,73.01,Low,2264,1,2161,0,101,1,1911,1,142,1,1316,0,995,0
MADHYA PRADESH,78.29,High,2105,0,2011,0,93,0,1890,0,136,0,846,0,901,0
MADHYA PRADESH,67.9,Low,1142,0,1110,0,19,0,842,0,60,0,676,0,415,0
MADHYA PRADESH,69.08,Low,1215,0,1189,0,25,0,974,0,64,0,909,0,505,0
MADHYA PRADESH,65.28,Low,563,0,521,0,28,0,483,0,115,0,331,0,311,0
MADHYA PRADESH,37.22,Low,1968,0,1938,0,27,0,1701,0,93,0,893,0,298,0
MADHYA PRADESH,62.36,Low,1569,0,1518,0,46,0,1335,0,99,0,1093,0,577,0
MADHYA PRADESH,73.39,Low,725,0,651,0,73,0,642,0,64,0,423,0,244,0
GUJARAT,71.58,Low,182,7,118,6,64,1,143,7,173,7,14,0,20,0
GUJARAT,66.39,Low,1098,21,1049,20,49,1,874,21,1083,21,272,1,287,0
GUJARAT,73.47,High,203,8,182,6,21,2,171,8,203,8,36,3,52,0
GUJARAT,84.26,High,234,3,181,1,53,2,215,3,232,3,29,0,44,0
GUJARAT,76.6,High,501,5,446,5,55,0,488,5,501,5,89,0,192,0
GUJARAT,85.78,High,169,3,120,0,49,3,169,3,169,3,28,0,18,0
GUJARAT,86.65,High,357,6,208,4,149,2,350,5,357,6,177,0,49,0
GUJARAT,73.19,Low,136,8,108,8,28,0,115,8,134,8,31,0,31,0
GUJARAT,82.2,High,107,1,35,1,72,0,105,1,107,1,11,0,2,0
GUJARAT,74.4,High,54,0,44,0,10,0,50,0,52,0,3,0,9,0
GUJARAT,76.63,High,60,1,42,0,18,1,50,1,55,1,10,0,3,0
GUJARAT,76.88,High,154,2,115,0,39,2,149,2,152,2,24,0,48,0
GUJARAT,74.49,High,73,2,46,2,27,0,73,2,73,2,12,0,11,0
GUJARAT,76.84,High,118,5,97,4,21,1,112,5,118,5,28,0,29,0
GUJARAT,85.79,High,481,1,401,1,80,0,475,1,481,1,121,0,162,0
GUJARAT,84.31,High,668,1,622,0,46,1,626,1,666,1,117,0,240,0
GUJARAT,72.32,Low,606,11,580,9,26,2,536,11,606,11,132,1,196,0
GUJARAT,60.6,Low,814,11,775,11,39,0,664,10,810,11,160,6,247,0
GUJARAT,81.21,High,607,4,568,1,39,3,599,4,607,4,220,1,199,0
GUJARAT,73.29,Low,320,5,310,4,10,1,318,5,316,5,70,0,150,0
GUJARAT,83.03,High,287,1,259,0,28,1,187,1,287,1,119,0,72,0
GUJARAT,86.65,High,640,2,560,1,80,1,631,2,640,2,168,0,168,0
GUJARAT,76.8,High,267,0,260,0,7,0,266,0,267,0,65,0,89,0
GUJARAT,84.78,High,294,1,275,1,19,0,291,1,294,1,74,0,59,0
GUJARAT,80.94,High,503,8,461,8,42,0,500,8,502,8,184,0,121,0
GUJARAT,69.23,Low,503,10,485,8,18,2,489,9,503,10,208,1,152,2
GUJARAT,73.39,Low,572,2,550,2,22,0,572,2,572,2,137,0,222,0
GUJARAT,73.39,Low,23,0,10,0,13,0,23,0,22,0,8,0,3,0
GUJARAT,73.39,Low,127,3,113,3,14,0,127,3,117,3,15,0,29,0
GUJARAT,73.39,Low,81,5,50,4,31,1,81,5,76,5,16,0,18,0
GUJARAT,73.39,Low,716,6,694,6,22,0,643,5,715,6,149,0,230,0
GUJARAT,73.39,Low,830,19,815,17,15,2,818,19,802,19,304,0,325,0
GUJARAT,73.39,Low,55,4,43,3,12,1,47,4,52,4,3,0,6,0
DAMAN & DIU,83.36,High,23,0,19,0,4,0,23,0,23,0,10,0,4,0
DAMAN & DIU,88.06,High,36,0,34,0,2,0,36,0,36,0,11,0,1,0
DADRA & NAGAR HAVELI,77.65,High,177,0,157,0,16,0,157,0,176,0,75,0,6,0
MAHARASHTRA,63.04,Low,1349,150,1253,9,96,141,1221,147,626,126,385,63,384,9
MAHARASHTRA,74.61,High,1221,224,1065,6,155,218,1190,223,994,207,234,77,426,7
MAHARASHTRA,79.73,High,1708,424,1424,7,283,416,1698,424,1375,387,395,86,454,8
MAHARASHTRA,82.09,High,1088,188,920,28,167,160,1010,186,782,177,271,69,138,14
MAHARASHTRA,87.55,High,751,124,603,12,148,112,726,124,605,114,282,44,176,27
MAHARASHTRA,81.7,High,617,85,510,4,105,81,608,84,456,79,165,37,156,21
MAHARASHTRA,88.23,High,1246,225,1003,25,239,200,1235,224,1028,220,329,142,313,42
MAHARASHTRA,87.22,High,793,104,677,3,112,101,784,104,785,103,146,33,160,6
MAHARASHTRA,89.52,High,1783,331,1193,25,544,306,1758,330,1659,331,226,109,301,35
MAHARASHTRA,85.14,High,646,112,533,12,111,99,641,112,621,112,88,21,211,25
MAHARASHTRA,85.41,High,737,67,646,16,87,51,725,67,541,67,88,2,206,0
MAHARASHTRA,70.55,Low,1218,62,1162,15,54,47,1007,62,547,59,232,12,265,3
MAHARASHTRA,81.35,High,1207,126,1059,15,134,110,1189,125,1047,124,259,33,297,16
MAHARASHTRA,80.7,High,1560,177,1350,31,206,146,1518,177,1317,173,352,37,230,11
MAHARASHTRA,76.94,High,1807,239,1515,12,291,227,1685,239,954,214,501,42,429,32
MAHARASHTRA,76.04,High,610,84,527,30,82,54,587,83,411,80,209,46,173,33
MAHARASHTRA,75.22,High,759,167,615,50,144,117,710,166,457,156,302,78,237,72
MAHARASHTRA,73.61,High,1166,154,988,36,175,118,1103,152,710,143,288,38,339,41
MAHARASHTRA,80.4,High,1723,215,1380,42,339,173,1560,215,1466,208,362,60,275,33
MAHARASHTRA,80.96,High,3073,332,2715,10,350,322,2978,332,2557,306,607,65,627,10
MAHARASHTRA,86.18,High,1440,191,1097,2,304,189,1368,190,1154,191,346,43,331,17
MAHARASHTRA,90.9,High,1410,39,182,39,1134,0,1397,39,1407,39,70,34,18,4
MAHARASHTRA,88.48,High,5,814,0,0,5,814,5,814,5,814,0,92,0,19
MAHARASHTRA,83.89,High,2312,196,2162,7,126,183,2189,195,1964,186,424,24,639,3
MAHARASHTRA,87.19,High,3541,442,3004,13,507,429,3444,440,3229,435,616,165,748,49
MAHARASHTRA,80.22,High,3363,397,3088,5,275,392,3256,395,2977,380,579,123,657,30
MAHARASHTRA,73.53,High,2133,269,1943,21,190,248,1921,266,1007,245,755,75,664,31
MAHARASHTRA,79.03,High,1007,226,757,6,250,220,986,225,753,212,228,52,243,38
MAHARASHTRA,76.33,High,762,178,625,49,136,129,735,177,508,173,240,61,178,22
MAHARASHTRA,77.72,High,2549,423,2159,8,380,415,2525,422,2094,404,483,114,482,75
MAHARASHTRA,84.2,High,2080,266,1931,1,139,264,2003,263,1756,264,520,142,422,60
MAHARASHTRA,82.43,High,1818,94,1739,0,72,94,1754,94,1626,94,226,46,503,21
MAHARASHTRA,86.54,High,983,68,949,0,34,68,947,68,958,68,183,62,375,13
MAHARASHTRA,82.9,High,1462,294,1148,4,307,290,1414,292,1221,290,311,115,316,8
MAHARASHTRA,82.62,High,1455,269,1238,7,216,262,1451,269,909,262,322,120,295,38
MAHARASHTRA,73.39,Low,1769,97,1650,6,103,87,1694,97,1336,96,386,28,367,11
ANDHRA PRADESH,62.3,Low,2396,541,2249,395,143,143,2194,515,2280,528,1007,319,1043,218
ANDHRA PRADESH,59.49,Low,2354,448,2131,275,223,173,2086,428,2053,415,959,265,682,167
ANDHRA PRADESH,67.7,Low,3417,623,3118,336,291,285,2852,611,2375,606,1585,338,1527,212
ANDHRA PRADESH,71.35,Low,3817,978,3257,557,549,420,3629,958,3566,974,1059,247,1048,237
ANDHRA PRADESH,74.32,High,2791,681,2354,396,433,283,2725,665,2629,675,979,308,979,238
ANDHRA PRADESH,74.37,High,2568,788,1841,376,720,409,2491,769,2294,781,718,359,648,190
ANDHRA PRADESH,67.99,Low,2964,659,2488,382,434,272,2832,644,2860,653,1299,364,978,187
ANDHRA PRADESH,63.53,Low,2857,729,2396,367,432,354,2751,710,2624,709,1160,323,895,163
ANDHRA PRADESH,69.15,Low,2978,682,2554,352,398,329,2857,633,2801,645,1075,398,928,233
ANDHRA PRADESH,67.88,Low,3028,786,2578,361,431,425,2888,741,2815,729,1046,308,689,179
ANDHRA PRADESH,61.13,Low,2326,818,1808,429,476,389,2197,762,2053,754,1743,445,771,129
ANDHRA PRADESH,64.28,Low,3077,922,2651,552,414,370,2953,870,2912,842,1694,575,1354,350
ANDHRA PRADESH,72.36,Low,4220,1080,3697,590,517,489,3993,1017,4119,1048,1224,438,1067,233
KARNATAKA,73.94,High,729,28,592,13,137,15,673,27,701,28,237,0,166,0
KARNATAKA,69.39,Low,668,29,482,22,186,7,598,27,648,29,188,7,114,0
KARNATAKA,67.2,Low,1300,31,841,22,459,9,1089,30,1145,30,332,8,157,0
KARNATAKA,65.65,Low,1233,46,800,33,430,13,1046,44,1117,45,306,6,222,0
KARNATAKA,71.01,Low,871,24,528,21,343,3,730,22,776,22,223,6,97,0
KARNATAKA,60.46,Low,914,38,697,29,217,9,656,34,895,38,288,13,189,10
KARNATAKA,67.28,Low,540,33,393,26,147,7,457,32,478,33,158,3,137,2
KARNATAKA,75.18,High,270,17,186,13,84,4,250,17,268,17,87,3,58,1
KARNATAKA,80.3,High,358,19,222,13,136,6,310,18,331,19,95,1,71,1
KARNATAKA,84.03,High,526,16,498,4,28,12,424,16,526,16,225,2,144,0
KARNATAKA,77.6,High,582,24,471,19,111,5,574,22,573,24,225,7,238,1
KARNATAKA,67.85,Low,758,49,527,39,231,10,659,42,719,48,285,3,268,0
KARNATAKA,73.82,High,935,23,857,21,78,2,829,22,926,23,370,12,318,0
KARNATAKA,76.3,High,814,19,646,18,168,1,721,18,772,19,307,0,404,2
KARNATAKA,80.5,High,1023,20,949,15,74,5,856,17,973,20,453,8,167,1
KARNATAKA,86.29,High,274,7,247,4,27,3,235,7,267,7,153,0,140,0
KARNATAKA,79.24,High,854,20,806,19,48,1,772,20,839,20,307,0,215,0
KARNATAKA,74.32,High,1464,14,1401,13,63,1,1286,13,1432,14,652,3,571,0
KARNATAKA,74.33,High,1289,20,1219,20,69,0,1188,20,1244,20,506,3,545,0
KARNATAKA,73.39,Low,689,19,440,4,241,15,641,18,689,19,142,0,84,0
KARNATAKA,78.29,High,744,6,692,5,52,1,706,6,736,6,247,0,188,0
KARNATAKA,70.14,Low,983,30,917,26,66,4,947,29,983,30,489,5,415,0
KARNATAKA,75.89,High,1480,29,1410,29,70,0,1463,28,1476,29,714,3,564,0
KARNATAKA,88.62,High,334,11,281,9,53,2,306,10,334,11,165,0,158,0
KARNATAKA,82.52,High,168,5,140,5,28,0,162,5,160,5,47,0,45,0
KARNATAKA,72.56,Low,1091,29,958,24,133,5,1033,29,1059,29,426,9,315,0
KARNATAKA,61.12,Low,416,18,371,18,45,0,324,16,370,18,168,1,126,0
KARNATAKA,88.48,High,433,7,236,1,197,6,379,7,433,7,102,0,37,0
KARNATAKA,70.08,Low,1012,20,961,17,49,3,876,20,978,19,423,7,358,0
KARNATAKA,73.39,Low,969,44,785,26,184,18,837,43,707,44,282,0,150,0
KARNATAKA,73.39,Low,824,16,785,15,39,1,741,16,796,16,187,0,404,0
KARNATAKA,69.2,Low,935,22,904,22,31,0,861,22,934,22,311,3,398,3
KARNATAKA,52.36,Low,651,18,465,17,186,1,499,14,572,18,141,4,206,0
KARNATAKA,73.39,Low,659,9,646,8,13,1,483,9,640,9,286,4,202,0
GOA,88.85,High,602,144,466,44,136,100,591,141,601,144,140,39,50,13
GOA,85.53,High,371,74,290,30,81,44,359,72,369,74,104,57,39,26
LAKSHADWEEP,92.28,High,17,0,17,0,0,0,15,0,17,0,19,0,10,0
KERALA,89.85,High,373,6,143,2,196,4,367,6,328,5,309,2,110,3
KERALA,95.41,High,856,4,116,0,648,4,847,4,822,4,859,9,129,3
KERALA,89.32,High,207,3,90,2,103,1,163,3,141,3,203,2,154,6
KERALA,95.24,High,922,12,183,3,591,9,871,11,886,10,1039,9,273,17
KERALA,93.55,High,1053,10,347,1,623,8,1032,10,990,10,1268,6,578,0
KERALA,88.49,High,688,13,197,3,422,10,647,13,633,13,970,13,317,13
KERALA,95.32,High,571,33,120,5,422,28,562,33,545,33,647,17,114,10
KERALA,95.68,High,560,58,188,4,321,54,547,57,543,58,657,56,266,11
KERALA,92.2,High,384,24,118,12,239,12,326,24,286,24,253,9,64,6
KERALA,96.4,High,523,60,174,4,316,56,512,59,518,60,470,49,122,0
KERALA,96.26,High,483,45,200,3,229,41,471,44,468,44,463,39,100,10
KERALA,96.93,High,492,38,168,2,273,36,479,38,477,38,425,45,82,7
KERALA,93.77,High,641,34,277,5,232,29,639,34,624,34,467,31,196,10
KERALA,92.66,High,675,31,307,8,267,21,651,27,655,31,824,59,334,6
TAMIL NADU,83.82,High,1467,166,959,148,498,18,1430,163,1454,166,493,60,386,30
TAMIL NADU,90.33,High,643,83,128,47,514,36,641,82,642,83,20,7,9,7
TAMIL NADU,85.29,High,1378,159,868,120,510,39,1357,157,1373,159,324,66,286,13
TAMIL NADU,79.65,High,2094,197,1439,171,655,26,2033,190,2050,193,726,25,389,9
TAMIL NADU,64.71,Low,948,129,830,117,118,12,923,125,930,125,248,10,334,12
TAMIL NADU,74.72,High,1605,217,1301,197,304,20,1581,210,1603,217,539,63,939,38
TAMIL NADU,72.08,Low,1842,220,1354,185,486,34,1840,220,1825,217,834,72,713,29
TAMIL NADU,73.23,Low,1425,148,1101,131,319,17,1390,143,1415,148,492,37,378,5
TAMIL NADU,74.92,High,822,70,689,59,127,11,816,70,814,70,242,12,217,2
TAMIL NADU,72.96,Low,1477,131,1198,101,271,30,1476,131,1470,131,428,30,271,29
TAMIL NADU,85.65,High,408,68,244,53,164,15,380,66,378,66,113,43,30,8
TAMIL NADU,84.31,High,1767,165,1279,132,475,33,1751,165,1737,165,521,64,345,6
TAMIL NADU,76.85,High,1294,118,950,79,340,39,1255,115,1268,118,516,15,280,6
TAMIL NADU,75.86,High,655,63,539,52,116,11,648,62,652,63,202,11,128,5
TAMIL NADU,83.56,High,1281,142,859,114,422,28,1259,140,1265,141,482,46,512,18
TAMIL NADU,74.68,High,776,132,575,110,201,22,761,128,770,131,370,41,101,8
TAMIL NADU,79.04,High,1365,151,917,127,448,24,1338,149,1357,151,539,91,304,35
TAMIL NADU,84.09,High,951,110,575,92,376,18,929,108,929,110,299,58,202,27
TAMIL NADU,83.26,High,799,80,590,66,202,14,795,80,789,79,268,66,176,32
TAMIL NADU,82.72,High,1319,155,938,125,374,30,1303,150,1300,154,605,42,266,17
TAMIL NADU,77.76,High,1268,122,1044,106,224,16,1268,122,1259,122,500,77,476,12
TAMIL NADU,80.46,High,980,100,731,70,227,30,970,99,970,100,345,11,294,20
TAMIL NADU,81.66,High,1301,122,798,95,501,27,1274,121,1271,121,523,49,283,11
TAMIL NADU,77.62,High,527,50,327,38,199,12,494,45,512,50,126,15,183,4
TAMIL NADU,80.75,High,1103,119,642,89,461,30,1085,116,1084,118,239,28,266,12
TAMIL NADU,81.48,High,1041,86,771,64,268,22,1005,84,1016,83,427,22,258,18
TAMIL NADU,86.52,High,1190,76,500,30,688,46,1154,75,1115,76,174,3,240,9
TAMIL NADU,82.92,High,1804,131,643,62,1145,69,1784,130,1640,131,250,19,264,30
TAMIL NADU,92.14,High,574,116,295,75,272,41,563,114,564,116,57,35,88,24
TAMIL NADU,72.41,Low,1275,169,1134,165,141,4,1197,158,1272,167,312,39,363,26
PUDUCHERRY,80.26,High,15,6,15,6,0,0,15,6,15,6,5,0,0,0
PUDUCHERRY,86.13,High,178,25,156,25,22,0,178,25,178,25,24,6,33,0
PUDUCHERRY,98.35,High,11,1,8,1,3,0,11,1,11,1,5,0,0,0
PUDUCHERRY,87.83,High,74,4,60,4,14,0,73,4,74,4,11,0,7,3
A & N ISLANDS,88.49,High,81,0,56,0,25,0,78,0,79,0,68,0,18,0
A & N ISLANDS,77.5,High,30,0,30,0,0,0,24,0,20,0,32,0,6,0
A & N ISLANDS,84.25,High,107,0,99,0,8,0,66,0,72,0,102,0,62,0
TELANGANA,61.55,Low,3080,476,2978,432,71,44,2603,460,2438,473,1316,345,901,263
TELANGANA,62.25,Low,1610,495,1493,465,73,30,1499,487,1339,485,996,331,674,290
TELANGANA,64.87,Low,2126,794,2000,697,103,97,2036,778,1919,778,865,374,779,290
TELANGANA,62.53,Low,2018,578,1917,544,75,34,1879,568,1675,565,1474,494,981,286
TELANGANA,80.96,High,1565,1153,505,188,954,955,1538,1137,1422,1110,499,291,114,36
TELANGANA,78.05,High,1789,549,1592,473,158,76,1683,535,1437,529,1216,488,597,173
TELANGANA,56.06,Low,2809,701,2608,632,164,69,2544,681,2250,666,1890,517,1318,387
TELANGANA,65.05,Low,2424,704,2294,619,110,84,2323,695,1877,683,1338,362,827,208
TELANGANA,66.16,Low,2373,646,2235,555,102,91,2257,640,1749,632,1143,350,808,225
TELANGANA,65.46,Low,2154,427,2067,393,80,34,1944,419,1927,423,1068,276,889,157
,73.39483824,,,,,,,,,,,,,,,
